,channel,text,datetime,label
11,bad kpi,"#фмм #гребнев

этот, с позволения сказать, человек недостоин работать преподавателем. на выезде на политехник два года назад, благополучно напившись, орал: «если я кого-то не выебу, то поеду домой!»
это он про студенток, естественно 
лично мне делал недвусмысленные комплименты по поводу моей фигуры и в частности - задницы. намекал, что неплохо было бы ему сделать массаж в общажке.
да, это было два года назад. но интернет помнит все и скрины у меня есть, георгий николаевич ❤️",2019-03-20 07:48:58+02:00,-1
12,good kpi,"пояснение по класификации смирнова:
""люди"" это те, кто умеют плавать, но в большой бассейн им ещё рано.
""чайники"" это те, кто может более-менее выполнить упражнения.
""рагули"" это те, кто не может выполнить упражнения.
с последними в основном он и занимается, объясняет, корректирует ошибки. ничего прям оскорбительного (как человек который побывал на всех трёх дорожках иногда даже за одну пару) я в этом не вижу.
благодаря смирнову я за семестр от почти паничесекого страха перед водой прокачался до вполне уверенного брасса.",2019-04-20 16:42:12+03:00,-1
13,bad kpi,"#фмм #гребнёв
ох, напишу немного о любимом преподователе с кафедры промышленного маркетинга - гребнёве г.н. пользуясь служебным положением, он часто заставлял студентов делать задания, которые он не хочет делать, например, какие-то задачи за восьмой клас (не знаю зачем ему они нужны, может это то, очём я думаю 😅). в случае невыполнения задач, он принемал соответсвующие меры: снимал балы за предмет или делал угрозы, что в будущем он может хорошо так вставить палки в колёса.",2019-03-20 07:50:33+02:00,-1
14,good kpi,"смирнов на рагулей даже не смотрит, был там в первом семестре, сказал что рагули плавать не умеют, ему нет смысла их обучать. и обращает внимание только на чайников и людей.",2019-04-20 16:54:27+03:00,-1
15,bad kpi,"#фмм #гребнёв летом, когда ещё не началась учеба и все были не в киеве, призывал срочно приехать на кпи и помогать таскать парты из или в аудитории. на ответы ему, что мы заняты и физически не можем этого сделать, начал психовать, требовать у всех скинуть ему свои gps метки с телефона, а иначе будет плохо всем кто это не сделал.",2019-03-20 08:05:48+02:00,-1
16,good kpi,"занимается? серьезно? вот это новость, я в рагулях очень редко был, никто с ними не занимается, там студенты друг друга учат, пришлось так некоторых научить. когда человеку объясняли, что он никогда не научится, почему-то мое объяснение помогло человеку хоть не тонуть и не брать носом воду и я скажу, что люди были обучаемые, главное нормально объяснить как и что делать, а не забивать в отельную группу, которые ничего не умеют",2019-04-20 17:08:40+03:00,0
17,bad kpi,"#фмм #гребнев 
очень удивляет как преподаватель с таким поведением все ещё работает в университете, потому что на протяжении многих лет слышно жалобы.
постоянные неоднозначные намеки с сексуальным подтекстом, мало того он ещё додумывается не только сам приставать, но и подсылать парней, чтобы они приставали к девушкам, ради получения оценки или зачета. 
и если бы задание было просто позаигрывать с девушкой, сама суть отображается в его фразе «вот вы***шь ее, вот тогда возможно и поставлю зачет» 😐",2019-03-20 08:30:17+02:00,-1
18,good kpi,"добавлю по поводу смирнова. основное фп у меня другое, поэтому записался на плавание только для того, чтобы научиться нормально плавать и сдать норматив. попал к двум разным преподам, одним из них был смирнов (фамилию второго не помню). смирнов учил плавать, тогда как второй просто в начале пары говорил в каком стиле плавать, а сам в телефоне сидел. у второго я был 1 или 2 раза, после этого ходил только к смирнову",2019-04-20 18:28:40+03:00,0
19,bad kpi,"#фмм #гребнёв постоянно требует подарки от студентов, если не приносим, начинает угрожать и орать. берет взятки, позволяет себе отпускать пошлые комментарии в сторону студенток. например, при всей аудитории может сказать: ""у вас такая красивая жопа!"".",2019-03-20 08:34:30+02:00,-1
20,good kpi,"тренер з плавання смірнов-кращий з кращий!хоча так,гумор в нього специфічний.на перших заняттях я буквально тонула через аквафобію.пам'ятаю,як плакала в воді від страху.смірнов вчить з нуля.якщо зовсім все погано-варто ходити по суботах,тоді він більше звертає увагу та корегує помилки.хоча я ""вічний рагуль"" по тій класифікації,але почала по-справжньому кайфувати від води.тренер каже,що вона лікує.атмосфера в басейні,як на курорті.та його музика в колонці щось нереальне:від шансону до queen.абсолютно все моє оточення знає про смірнова.1%,що він мене взагалі пам'ятає,але з впевненістю кажу,що смірнов-майстер своєї справи!рекомендую і дуже люблю!♥️♥️♥️",2019-04-20 21:16:03+03:00,1
21,bad kpi,"#фмм #гребнев с данным персонажем было много интересных моментов, но больше всего запомнилась ситуация, когда мне ни с чего был задан вопрос «а где у вас ещё пирсинг?» с намеком на интимные части тела",2019-03-20 08:55:15+02:00,-1
22,good kpi,"#фпм. администрация отреагировала на просьбы студентов на встрече и после конфы и теперь в туалетах есть крючки! стало удобнее, спасибо)",2019-05-07 13:54:34+03:00,1
23,bad kpi,"в продолжение этого поста. 

администрация кпи не хочет рассматривать анонимные жалобы. поэтому очень важно обратиться в деканат именно с письменными жалобами. если вы сталкивались с дичью со стороны преподавателей — не бойтесь и пишите в деканат. 

если хотите остаться анонимными, напишите мне или в предложку плохого кпи. а я потом соберу всё и доставлю по адресу. вместе попробуем избавить кпи от дичи.

если у вас есть что угодно, что может быть использовано как доказательство, скидывайте мне или в плохой кпи. скрины диалогов, видео и аудиозаписи — всё, где зафиксирована дичь, которую творил #гребньов или любой другой преподаватель или сотрудник кпи. 

мне не важно что это будет и как именно вы изложите свою жалобу. но если вы таки хотите решить проблему — напишите о ней.",2019-03-20 09:53:05+02:00,-1
24,good kpi,"кстати библиотека- может лучшее, что есть в кпи. там хоть не разваливаются столы, людские туалеты и порядок",2019-05-09 16:22:50+03:00,1
25,bad kpi,прямо сейчас в библиотеке тестируют турникеты.,2019-03-20 16:02:12+02:00,0
26,good kpi,"тем временем под восьмым корпусом
туалеткаа **",2019-05-16 09:41:49+03:00,0
27,bad kpi,"з приводу дисциплінарного засідання фмм 

сьодні пройшла дисциплінарна комісія на факультеті менеджменту та маркетингу, на якій розглядались скарги студентів на викладача гребньова г. м. представники комісії ознайомились із фактами та заявами наданими студентами. далі, викладач повинен був прокоментувати усі скарги та зобов'язаний до 22.03 надати письмове пояснення до кожної з них. деканат фмм обурений тим що сталось, що сталась та чекає пояснень від викладача. лише після того як буде письмова відповідь гребньова г.м., можна буде говорити про подальший розвиток ситуації.",2019-03-20 17:19:55+02:00,0
28,good kpi,"16 общежитие, холодная вода 😎",2019-05-17 15:23:45+03:00,1
29,bad kpi,"прошёл слух, что в кпишных столовках больше не готовят макароные изделия из-за проблем с закупками. насколько это правда и как это решить? студенты жалуются.",2019-03-20 18:23:16+02:00,-1
30,good kpi,"после размещения поста на плохом кпи, волшебным способом появился свет и вода, огромная благодарочка 😀",2019-05-17 16:03:01+03:00,1
31,bad kpi,"#фмм #гребньов
девушки, если у вас есть пруфы по поводу домагательств (скрины переписок подойдут) - то посадить гребнёва реально. хотите обезопасить окружающее пространство от таких уродов - действуйте",2019-03-20 20:19:08+02:00,0
32,good kpi,"#фпм
ходила весь год на курсы для абитуриентов на этом факультете , честно говоря, только ради балов (как говорили многие знакомые : «знания эти курсы не дают»)
так вот, никогда бы не подумала, что это настолько толковое место
спасибо большое преподавателям, а отдельно вячеславу олеговичу, который смог донести до нас много важной и полезной информации, и смог найти подход для каждого 
так же, не подумала бы , что захочу  подавать документы на этот факультет, но теперь моё мнение кардинально поменялось и он у меня будет первый в приоритетах 
прекрасно место ❤️",2019-05-27 20:48:58+03:00,1
33,bad kpi,"#фбми 
хотелось бы рассказать о таком замечательном преподе как бакун владимир владимирович. по его словам, он уже 40 лет в кпи, но за это время, судя по всему, так и не понял, что разговоры о политике, недвусмысленные намеки и шутки в сторону студенток вроде ""мужчина должен делать девушке приятно"" (и это я не говорю ещё о целом канале в телеге с его цитатами) неуместны во время пар. если вдруг ты девушка, то выходишь к доске и стоишь у неё около часа, решая одну задачу с его помощью. так же присутствуют докапывания вроде: ""как это вы не сделали 7 примеров, которые я вам задал? у вас же была целая неделя!"". здесь, наверное, стоит объяснить, что сначала у нас проходит лекция и по теме лекции он и задаёт дз, а потом дико возмущается минут 15, что никто не сделал оверсложный пример, ведь мы должны были разобраться в лекции, написанной на доске его непонятным мелким почерком, несмотря на то, что просили его уже писать крупнее(даже со второй, третьей парты не видно ничерта), и быть готовыми уже самостоятельно решать примеры. ведь как он сам сказал на самой первой паре: ""я понял, что студентов бесполезно учить. если кто хочет научиться - научиться сам"". если бы я хотел научится сам - не поступал бы в универ. я не говорю, что студент вообще не должен ни в чем сам разбираться, есть темы, которые по программе запланированы на самостоятельное изучение, но почему я должен тратить свое время, которого нет на то, чтобы разбираться в практической части, которую должны нам объяснять именно на практике? но лучше ведь потратить время пары на тупые шутки в сторону студенток, его рассказы о своей молодости, и хейт в сторону студентов, которые пропустили одну/две пары. да-да, он каждого, кто не покажет ему справку, даже если она есть, но ты отнес её уже в архив, заставляет во время пары писать обьяснительную на имя декана. а потом ещё сидит и читает это, на что уходит куча времени, за которое он по-человечески мог объяснить материал. так же, частенько задаёт студенткам тупые вопросы, на которые сложно ответить и которые не касаются никак учебного процесса. однажды у него спросили, что значит ""оценить интеграл"" так он вызвал к доске девушку, которую мучил вопросом ""оцените свою будущую зарплату"". о, и пара, конечно, у нас длится один час и сорок минут, поскольку ""пара закончится, когда я скажу"", ""а зачем вам маленькая перемена между полупарами? "". то есть, он мало того, что перерыва не делает, так ещё и задерживает, когда после него у нас пара в корпусе, в который херачить 15 минут. преподаватели удивляются, почему вся группа опаздывает на их пару. и пожалуй, последний зашквар, который я вспомню: если ты опоздал на пару - он на полном серьёзе заставляет тебя предъявлять ему паспорт ибо ""я не могу быть уверен, что это мой студент/ка, а вдруг это террорист и он принёс сюда бомбу"". 
в конце прилагаю, собственно, паблик с золотым фондом цитат бакуна. наслаждайтесь:@bakuneeeboy",2019-03-21 12:36:48+02:00,-1
34,good kpi,в женском туалете 4-го корпуса появилась туалетная бумага. совпадение? не думаю🙄,2019-05-30 11:43:53+03:00,1
35,bad kpi,"как уже надоели эти посты про поликлинику, но это просто невозможно. смысл писать что врач работает с 13:00, если они все уходят на планёрку на час и пропадают там минимум на 40 мин, а то и больше.... пришёл в 12:45 что бы занять очередь, ушел в 13:50 так и не дождавшись врача",2019-03-21 15:35:27+02:00,-1
36,good kpi,"17-й корпус, #ртф. в туалетах появилась туалетная бумага. вот так подгон ко дню факультета😏",2019-05-31 10:44:08+03:00,1
37,bad kpi,"#фбми 3 курс
ответка на пост про бакуна


учился два года у бакуна, мужик конечно очень своеобразный. пройдусь по пунктам:
1. учеба. он ровно настолько хорошо знает свои предметы, насколько плохо их преподает. но при этом у него нету особо никаких требований. они есть, но как говорится с каждого по возможностям, каждому по потребностям. может весь семестр лепить двойки/нули/еще шото, но при мне он никого не исключил, даже самых безнадежных.
2. то шо он юморист и любит потрындеть о том о сем. лично меня он не особо любил как студента, но вроде уважал как человека. мой рекорд час пятнадцать возле доски. это я просто стоял. вот просто. часто шутил в мою сторону, но совершенно не обидно. к девочкам шоб прям приставать ни разу не видел, мог юморнуть. по поводу того шо он извращенец и тд: «каждый думает в меру своей распущенности». по поводу политики и прочих кулстори: он старый дед, который живет один. я хз есть ли у него друзья, но их явно не особо много. соответственно человек просто чувствует себя одиноким, хочет пообщаться, его можно понять если захотеть. напоследок его же фраза, дословно не помню, передам смысловую нагрузку: «математика в жизни не главное, главное найти свое место».",2019-03-21 15:38:51+02:00,-1
38,good kpi,голые пацаны на поляне это ребята из best. у них есть такая традиция  нейкед ран. понапиваються і бігають:),2019-06-03 06:56:54+03:00,0
39,bad kpi,"#ипи , 1 курс
сперва ты наивно думаешь, что на субботниках в школе всё кончилось, а затем видишь в подслушке это",2019-03-21 15:39:17+02:00,-1
40,good kpi,"это они у гарварда перенимают традицию, перед сессией пробежаться по территории университета голяком. идём в европу, хули😎",2019-06-03 06:57:07+03:00,0
41,bad kpi,"ответка на ответку с фбми

неужели общение со студентами на паре как-то оправданно его отсутсвием в повседневной жизни? я когда на пару прихожу хочу слушать материал, а не шутки и пошлости в сторону женской аудитории. мне правда плевать, что он думает о политике, религии и других вечных темах. я пришел получать знания.
мне плевать кого он считает необходимым отчислить, а кого оставить из личных соображений. если оцениваются знания студентов, то всё ок. если стояние у доски - что-то явно не так.
а ещё порадовало, что автор поста считает, что одна фраза человека может оправдывать его поведение. мне вот интересно, а сколько подходов понадобилось, чтобы поставить такой рекорд стояния у доски. неужели с первого раза. неужели только ты так стоял. по-моему на паре нужно знания давать, а не юмориста из себя корчить.
складывается ощущение, что большинство студентов морально не готовы признать, что преподаватель должен с одной стороны качественно преподавать материал, а с другой качественно оценивать то, что осталось после его преподавания. то, что бакун плохо преподает, но понимает это и ""особо не просит"" не является оправданием его поведения.",2019-03-21 16:12:31+02:00,-1
42,good kpi,"привезли бумагу, возле 18шки",2019-06-03 10:32:39+03:00,1
43,bad kpi,"#фмф
панасюк. из серии преподавателей, которым больше 60, но всё ещё меньше 200, взрощенные на чистой ненависти. за два месяца, которые она у нас ведёт, я так ничего с пар и не вынес, кроме одного: я дибил, мудак и всё делаю неверно. ебет мозг с причиной и без. вместо переменной ""v"" ввёл переменную ""w"" — переписываешь всё, попутно выслушивая то, какой ты тупой и ничего не знаешь. ебёт по-любому поводу. вне зависимости от того, насколько скрупулёзно ты ннапишешь её лекцию, в итоге всё равно будешь неправ.  будешь посматривать на соседа — отсадят. ей абсолютно похуй на твои аргументы. она не даст тебе сказать ни одного слова. написал ты что-то,не написал,ей похуй. ты все равно тупой, мудак и ничего не знаешь.",2019-03-21 17:06:43+02:00,-1
44,good kpi,"#фти, 1курс
ястребов очень классный препод👍 объясняет по толку, студентов понимает, на одной волне с ними. 
спасибо за ваши шуточки и хорошее настроение :)",2019-06-04 20:47:57+03:00,1
45,bad kpi,"действительно, почему руководство кпи не задумывается, что преподаватели есть его лицо, почему студенты должны входить в положение, что вот это препод одинокий, этот болен, этот выпивает, этот уже наполовину обомжел. наш вуз что, богадельня, пристанище для тех, кому больше податься некуда, кто не реализовал себя в жизни?? обидно за качество.",2019-03-21 17:07:01+02:00,-1
46,good kpi,"#фти
за ястребова поддерживаю. отличный преподователь, знает предмет досконально. всегда удачно шутит, с аудиторией на одной волне. идет на уступки должникам, да и вообще одни позитивные эмоции от николая игоревича.",2019-06-04 21:09:23+03:00,1
47,bad kpi,"#фбми 
еще про бакуна
из-за него в этом семестре вся группа пошла на допку. а все из-за того, что именно он вел практики (раньше он вел только лекции) и ни у кого не было достаточного количества баллов хотя бы на е.",2019-03-21 17:07:11+02:00,-1
48,good kpi,"#фивт 
алещенко алексей вадимович.
как по мне, он — один из наилучших преподов на кпи. добрый, веселый, опыт в своем деле на максимуме. ведет свой предмет на 100500% понятно и интересно, лекции ведет мега информативно, с примерами, с объяснениями и с заданиями для аудитории.  сдавая ему практику, он подстраивается под каждого студента, помогает разобраться в чем-то непонятном для студента а так же идет на уступки должникам. если бы на кпи все преподы ровнялись на него, то даже лентяи, не знающие предмет, начали бы упорно учиться и тогда универ можно бы было назвать самым успешным в стране.",2019-06-05 02:28:19+03:00,1
